	depth	depth_group_50	depth_group_100	depth_zone	true_lat	region	sal	temp
PSE_93_05M	5.3	0-50	0-100	EPI	S_ITCZ	POS	34.0-34.5	18-20.9
ANE_151_05M	5.4	0-50	0-100	EPI	N_ITCZ	AON	36.0-36.5	15-17.9
ANE_152_05M	5.4	0-50	0-100	EPI	N_ITCZ	AON	36.0-36.5	12-14.9
ANW_141_05M	5.4	0-50	0-100	EPI	N_ITCZ	AON	34.0-34.5	27-29.9
ANW_142_05M	5.4	0-50	0-100	EPI	N_ITCZ	AON	36.0-36.5	24-26.9
ASE_66_05M	5.4	0-50	0-100	EPI	S_ITCZ	AOS	35.0-35.5	15-17.9
ASE_68_05M	5.4	0-50	0-100	EPI	S_ITCZ	AOS	35.5-36.0	15-17.9
ASE_70_05M	5.4	0-50	0-100	EPI	S_ITCZ	AOS	36.0-36.5	18-20.9
ION_42_05M	5.4	0-50	0-100	EPI	N_ITCZ	ION	34.5-35.0	30-33.0
ION_48_05M	5.4	0-50	0-100	EPI	S_ITCZ	IOS	34.0-34.5	27-29.9
IOS_62_05M	5.4	0-50	0-100	EPI	S_ITCZ	IOS	35.0-35.5	24-26.9
MED_18_05M	5.4	0-50	0-100	EPI	N_ITCZ	MED	37.5-38.0	21-23.9
MED_30_05M	5.4	0-50	0-100	EPI	N_ITCZ	MED	39.0-39.5	18-20.9
PON_137_05M	5.4	0-50	0-100	EPI	N_ITCZ	PON	33.5-34.0	24-26.9
PON_138_05M	5.4	0-50	0-100	EPI	N_ITCZ	PON	33.0-33.5	24-26.9
PON_140_05M	5.4	0-50	0-100	EPI	N_ITCZ	PON	28.5-39.0	24-26.9
PSE_94_05M	5.4	0-50	0-100	EPI	S_ITCZ	POS	34.5-35.0	21-23.9
PSE_99_05M	5.4	0-50	0-100	EPI	S_ITCZ	POS	36.0-36.5	21-23.9
PSE_109_05M	5.4	0-50	0-100	EPI	S_ITCZ	POS	33.0-33.5	27-29.9
PSW_112_05M	5.4	0-50	0-100	EPI	S_ITCZ	POS	36.0-36.5	24-26.9
PSW_128_05M	5.4	0-50	0-100	EPI	S_ITCZ	POS	35.0-35.5	24-26.9
RED_31_05M	5.4	0-50	0-100	EPI	N_ITCZ	RED	39.5-40	24-26.9
RED_32_05M	5.4	0-50	0-100	EPI	N_ITCZ	RED	39.5-40	24-26.9
RED_33_05M	5.4	0-50	0-100	EPI	N_ITCZ	RED	38.5-39.0	27-29.9
RED_34_05M	5.4	0-50	0-100	EPI	N_ITCZ	RED	38.5-39.0	27-29.9
