AG359J14	AG896J04	AG898O07	AG900B21	AG905C17	AG915K04	AG918E15	GCA002480175	HIMB30	LSUCC0096	TOBGMED626	TOBGMED759	TOBGMED814	TOBGNAT109	TOBGNP1444	TOBGNP1472	TOBGRS469	TOBGSAT133	TOBGSP353	UBA11144	UBA11194	UBA12265	UBA8357	UBA9601	UBA9605
ANE_004_05M	31119.877603242	8090.44149951691	5228.38565945577	14908.6345803478	10589.0596162901	6787.163068025	14454.9801119195	112408.955683729	8030.36175755707	6092.6806827021	6935.50038403309	1253.77738327104	25019.0805026661	551600.327428028	8936.85336389327	4444.0864016013	10669.0439066367	124188.734043007	7054.97119468865	13738.7384989656	9714.77001373435	3607.64399411161	2423.13490348625	2809.49731136623	9893.30040772614
ANE_150_05M	49265.1476935643	18225.3145589046	23745.6089091368	59088.3989562426	68092.7735100256	20454.9821346926	13703.5464669578	185057.133426408	36619.0189447214	48721.0560641968	798.051807832919	1331.11284667034	4625.41287788609	175340.09234302	14214.0011703631	31680.2250310407	11764.3605423421	76569.2376608913	58211.5150783919	69668.5185351014	3054.53946702225	4687.07558858621	0	0	25082.8763860018
ANE_151_05M	45468.9663636847	16141.4449482289	19327.1363132113	56634.4850202092	72441.5203458619	16779.1262563043	11175.4136650785	164990.835830099	33808.643372558	35524.4340463875	926.571687922056	1087.16380388569	6104.56973787653	257305.019574157	27696.7961063556	18670.1841230628	8668.70232374135	118063.884449647	29874.3954795524	36985.7575345749	3144.63430789519	3034.67561897655	29.0527536873139	226.033605843875	15890.552731199
ANE_152_05M	72941.9516760194	33377.5699648412	33734.5123452035	74456.9367545073	66357.281046088	27956.3675709327	21061.9625843391	32912.0390999868	47428.2144871396	89624.8750293063	1462.01573870433	1330.13096009494	3466.50072953308	175985.817962183	45330.3711910819	5420.93258657171	2689.11240383211	15686.9523689566	124076.973214154	71646.9668260658	3989.77424312335	9550.19023251337	181.282923317246	176.300124922445	39154.9679365819
ANW_141_05M	18459.6816124304	2713.55711585258	18184.9442038584	37497.0178382728	47304.9694128918	56381.6069635707	16518.4331899651	12365.6013487409	38709.0269644343	8467.16865109536	283.240483388396	621942.767637512	29929.8288452413	19188.7637944885	472.476116020858	7445.48742788883	44649.4821390204	7618.19110847913	1221.90905894889	1097.2196665929	3465.07237735988	3640.14928076597	346.609383154587	32.7718971461556	2064.0234828797
ANW_142_05M	33891.8377445217	15875.05455122	23559.5329031102	49261.521624608	66546.2956321263	30321.9232475768	11618.892868076	40888.8437856154	47648.6273087259	34238.3272000216	793.165991848946	81126.4248098742	12048.2011590718	156066.477083296	1489.80183007628	49418.1059832984	197353.939865921	20901.0132693023	6924.06137761169	4196.90018648792	94356.1397826026	2677.30290774537	62.7151577055794	0	18734.893729556
ANW_145_05M	78969.2865303811	44960.5456129723	43322.9953402984	76753.5807572648	64065.4633104264	29205.3424091194	20251.0475928154	12782.3203637748	54963.4384527333	89013.3915894355	9653.71742689304	11610.927201346	9998.03026016532	117426.386616872	10825.6481527843	31369.3731658079	13374.1249729044	9720.14445936591	56426.8730490351	23130.5426117095	120867.064503642	12800.3739663243	4478.62587878047	4878.18798349526	49152.5677916524
ANW_146_05M	57080.7553469795	29445.3701955284	27404.3808225848	61243.2633392537	53261.5269858545	25445.3585937815	16483.3673648133	16540.2622083349	74126.8248725275	62532.1540160407	1417.40487585612	3467.4414246187	4226.96026816848	242877.865012558	1712.10942893866	72958.2719546151	35259.4021325016	15033.6025058213	24238.9179347811	9132.29437270071	128284.484725376	4877.71125460582	0	0	32950.2703637594
ANW_148_05M	41594.0252542444	22372.0376370838	23114.6861751137	58201.6611066551	141283.091767568	25617.7095312807	23588.4797892562	104430.718236796	38082.0823493251	36189.6937328098	1481.03465066541	24394.1737570616	24104.7883641914	238248.06247002	4753.04510066985	49104.051814993	46277.9698034651	27558.7493323935	10628.8558988477	27632.7916318566	6195.02794588276	3516.70934669071	196.394036483586	300.13639757717	21134.0238690693
ANW_149_05M	67272.6263157808	30740.3983758201	33807.5042916475	70977.764084487	66094.9257822542	26829.5656923613	18251.3364759913	72777.8795858778	62419.0086435059	74832.3224309533	2908.60554451997	1940.56684952348	27447.7005820745	200005.035778885	7997.57587952949	70775.5905594786	21268.8724921042	24770.555793724	36483.0739259064	16996.7919682646	18907.0525987769	8491.67505930571	0	0	38003.571289228
